Produto,Preço,Fornecedor,Data
"iPhone 16 Pro Apple 128GB, Câmera Tripla de 48MP, Tela 6,3"", Titânio Preto",8358.89,Magazine Luiza,2025-05-18
"iPhone 16 Pro Max Apple 256GB, Câmera Tripla de 48MP, Tela 6,9"", Titânio Natural",10118.9,Magazine Luiza,2025-05-18
Apple iPhone 16 128GB Branco,6595.03,Magazine Luiza,2025-05-18
"iPhone 16 Pro Apple 128GB, Câmera Tripla de 48MP, Tela 6,3"", Titânio-Deserto",8358.89,Magazine Luiza,2025-05-18
"iPhone 16 Plus Apple 256GB, Câmera Dupla de 48MP, Tela 6,7"", Preto",8138.9,Magazine Luiza,2025-05-18
"iPhone 16 Pro Apple 128GB, Câmera Tripla de 48MP, Tela 6,3"", Titânio Branco",8358.89,Magazine Luiza,2025-05-18
"iPhone 16 Pro Apple 256GB, Câmera Tripla de 48MP, Tela 6,3"", Titânio-Deserto",9018.9,Magazine Luiza,2025-05-18
Apple iPhone 16 Pro Max 256GB Titânio Deserto,12221.03,Magazine Luiza,2025-05-18
Apple iPhone 16 Pro Max 512GB Titânio branco,14064.03,Magazine Luiza,2025-05-18
"iPhone 16 Plus Apple 128GB, Câmera Dupla de 48MP, Tela 6,7"", Preto",7698.91,Magazine Luiza,2025-05-18
Apple iPhone 16 128GB Ultramarino,6789.03,Magazine Luiza,2025-05-18
"iPhone 16 Apple 256GB, Câmera Dupla de 48MP, Tela 6.1"", Preto",7478.89,Magazine Luiza,2025-05-18
"iPhone 16 Plus Apple 128GB, Câmera Dupla de 48MP, Tela 6,7"", Rosa",7588.91,Magazine Luiza,2025-05-18
Apple iPhone 16 Pro 128GB Titânio Branco,10281.03,Magazine Luiza,2025-05-18
"iPhone 16 Pro Apple 512GB, Câmera Tripla de 48MP, Tela 6,3"", Titânio-Deserto",10228.9,Magazine Luiza,2025-05-18
"iPhone 16 Pro Apple 256GB, Câmera Tripla de 48MP, Tela 6,3"", Titânio Preto",8908.9,Magazine Luiza,2025-05-18
"iPhone 16 Pro Apple 256GB, Câmera Tripla de 48MP, Tela 6,3"", Titânio Natural",8908.9,Magazine Luiza,2025-05-18
"iPhone 16 Pro Apple 256GB, Câmera Tripla de 48MP, Tela 6,3"", Titânio Branco",9128.9,Magazine Luiza,2025-05-18
Apple iPhone 16 256GB Rosa,7759.03,Magazine Luiza,2025-05-18
Apple iPhone 16 Pro Max 512GB Titânio preto,14064.03,Magazine Luiza,2025-05-18
Apple iPhone 16 Pro Max 256GB Titânio preto,12415.03,Magazine Luiza,2025-05-18
Apple iPhone 16 128GB Preto,6789.03,Magazine Luiza,2025-05-18
Apple iPhone 16 256GB Preto,7468.03,Magazine Luiza,2025-05-18
"iPhone 16 Apple 256GB, Câmera Dupla de 48MP, Tela 6.1"", Branco",7698.91,Magazine Luiza,2025-05-18
Apple iPhone 16 512GB Branco,9311.03,Magazine Luiza,2025-05-18
"iPhone 16 Plus Apple 128GB, Câmera Dupla de 48MP, Tela 6,7"", Ultramarino",7368.89,Magazine Luiza,2025-05-18
"iPhone 16 Plus Apple 256GB, Câmera Dupla de 48MP, Tela 6,7"", Branco",8358.89,Magazine Luiza,2025-05-18
"iPhone 16 Pro Apple 512GB, Câmera Tripla de 48MP, Tela 6,3"", Titânio Preto",10118.9,Magazine Luiza,2025-05-18
"iPhone 16 Apple 128GB, Câmera Dupla de 48MP, Tela 6.1"", Ultramarino",6818.9,Magazine Luiza,2025-05-18
"iPhone 16 Plus Apple 512GB, Câmera Dupla de 48MP, Tela 6,7"", Rosa",9348.89,Magazine Luiza,2025-05-18
"iPhone 16 Plus Apple 128GB, Câmera Dupla de 48MP, Tela 6,7"", Verde-acinzentado",7478.89,Magazine Luiza,2025-05-18
"iPhone 16 Pro Apple 512GB, Câmera Tripla de 48MP, Tela 6,3"", Titânio Branco",10668.91,Magazine Luiza,2025-05-18
Apple iPhone 16 Plus 128GB Preto,9020.03,Magazine Luiza,2025-05-18
Apple iPhone 16 Pro 256GB Titânio Deserto,11251.03,Magazine Luiza,2025-05-18
"iPhone 16 Apple 256GB, Câmera Dupla de 48MP, Tela 6.1"", Rosa",8358.84,Magazine Luiza,2025-05-18
Apple iPhone 16 Plus 512GB Rosa,12818.43,Magazine Luiza,2025-05-18
